age,distance,YearsExperience,Salary
31.1,77.75,1.1,39343
31.3,78.25,1.3,46205
31.5,78.75,1.5,37731
32,80,2,43525
32.2,80.5,2.2,39891
32.9,82.25,2.9,56642
33,82.5,3,60150
33.2,83,3.2,54445
33.2,83,3.2,64445
33.7,84.25,3.7,57189
33.9,84.75,3.9,63218
34,85,4,55794
34,85,4,56957
34.1,85.25,4.1,57081
34.5,86.25,4.5,61111
34.9,87.25,4.9,67938
35.1,87.75,5.1,66029
35.3,88.25,5.3,83088
35.9,89.75,5.9,81363
36,90,6,93940
36.8,92,6.8,91738
37.1,92.75,7.1,98273
37.9,94.75,7.9,101302
38.2,95.5,8.2,113812
38.7,96.75,8.7,109431
39,97.5,9,105582
39.5,98.75,9.5,116969
39.6,99,9.6,112635
40.3,100.75,10.3,122391
40.5,101.25,10.5,121872
