age,height,weight,gender,likeness
27,170.688,76,Male,Biryani
41,165,70,Male,Biryani
29,171,80,Male,Biryani
27,173,102,Male,Biryani
29,164,67,Male,Biryani
28,174,46,Female,Biryani
27,151,64.3,Female,Biryani
34,176.5,98,Male,Biryani
32,181,87.5,Male,Biryani
22,184.5,80,Male,Biryani
29,163.5,65,Male,Pakora
29,176,78,Male,Samosa
23,178,62,Male,Samosa
28,168,74,Male,Biryani
25,165,102,Male,Biryani
27,174,78,Male,Samosa
33,162,93,Male,Biryani
28,176.5,68,Male,Samosa
21,5.6,71.5,Male,Biryani
25,185.9,135,Male,Biryani
24,183,82,Male,Samosa
30,165,70,Female,Biryani
30,169,60,Male,Pakora
32,171,84.5,Male,Biryani
30,154.5,65,Female,Biryani
25,178,70,Male,Biryani
34,171,59,Male,Pakora
32,165,78,Male,Biryani
24,173,68,Male,Biryani
30,161.544,62,Female,Biryani
21,155,58,Female,Samosa
31,173.7,102.3,Male,Biryani
22,162.5,64,Male,Samosa
19,164,50,Male,Samosa
30,164,75,Male,Samosa
27,170,77,Male,Biryani
34,177.8,82.72,Male,Samosa
24,177,93,Male,Biryani
26,164.5,55,Male,Samosa
22,155,50,Male,Biryani
35,165,75,Female,Biryani
27,176,64,Male,Pakora
27,186,85,Male,Biryani
27,155.4,65,Male,Biryani
30,178.5,84,Male,Pakora
44,155.7,85,Male,Biryani
23,165,53,Male,Samosa
48,158.5,90,Female,Samosa
28,5.1,79,Male,Pakora
24,170,68,Male,Biryani
40,182,85,Male,Samosa
32,182,79,Male,Biryani
29,176.7,50.9,Female,Biryani
27,167.6,68.5,Male,Biryani
26,172.72,130,Male,Samosa
30,180,63,Male,Samosa
27,172,93,Male,Biryani
23,170.68,59,Male,Biryani
28,5.11,76,Male,Biryani
22,175,76,Male,Biryani
23,5.6,60,Male,Biryani
26,181,63,Male,Biryani
30,164,60,Male,Biryani
31,173,75,Male,Biryani
30,183,70,Male,Biryani
21,185,65,Male,Samosa
20,152.4,70,Male,Biryani
26,154,55,Female,Biryani
35,170,65,Male,Biryani
38,13.7,72.6,Male,Pakora
27,176,55,Male,Pakora
27,170,46,Female,Biryani
38,160,62,Female,Biryani
25,173.3,72.5,Male,Biryani
25,180,55.5,Male,Biryani
24,179,70,Male,Biryani
24,5.7,86,Male,Biryani
22,182.88,52,Male,Biryani
25,5.6,43,Female,Samosa
32,155.48,61.5,Male,Biryani
22,5.4,76,Male,Biryani
27,160,60,Female,Biryani
22,182.88,62,Male,Biryani
37,167.64,77,Male,Biryani
30,167.6,65,Female,Biryani
27,163,50,Male,Pakora
33,6,91,Male,Biryani
25,168,75,Male,Pakora
38,173.75,81.5,Male,Biryani
25,183,88,Male,Samosa
21,170,60,Male,Samosa
31,164.2,86,Male,Biryani
24,173,87,Male,Biryani
25,5,70,Male,Biryani
18,176,55.6,Male,Biryani
24,170.18,86,Male,Pakora
35,173,82,Male,Biryani
44,176.78,70,Male,Biryani
30,165,60,Female,Pakora
32,169.1,50,Male,Biryani
25,181,62,Male,Pakora
29,180,71,Male,Biryani
24,175,55,Male,Biryani
